sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,73.58823529411765,86.09952257228024,79.5270605035186,97.17701433503738,0.8720818713982548,35.1764705882353,9.0,28.352941176470587,1.0588235294117647
1,77.0,88.31168831168831,75.0,100.0,0.8571428571428571,27.0,9.0,41.0,0.0
2,69.0,92.7536231884058,93.47826086956522,95.55555555555556,0.945054945054945,43.0,3.0,21.0,2.0
3,76.0,89.47368421052632,79.41176470588235,96.42857142857143,0.8709677419354839,27.0,7.0,41.0,1.0
4,82.0,85.36585365853658,78.18181818181819,100.0,0.8775510204081634,43.0,12.0,27.0,0.0
5,69.0,91.30434782608695,85.36585365853658,100.0,0.9210526315789475,35.0,6.0,28.0,0.0
6,85.0,92.94117647058823,90.38461538461539,97.91666666666666,0.9400000000000001,47.0,5.0,32.0,1.0
7,100.0,92.0,86.20689655172413,100.0,0.9259259259259259,50.0,8.0,42.0,0.0
8,74.0,77.02702702702703,72.3404255319149,89.47368421052632,0.8,34.0,13.0,23.0,4.0
9,57.0,82.45614035087719,75.0,96.42857142857143,0.8437499999999999,27.0,9.0,20.0,1.0
10,61.0,80.32786885245902,70.73170731707317,100.0,0.8285714285714285,29.0,12.0,20.0,0.0
11,69.0,82.6086956521739,69.23076923076923,100.0,0.8181818181818181,27.0,12.0,30.0,0.0
12,80.0,86.25,86.36363636363636,88.37209302325581,0.8735632183908046,38.0,6.0,31.0,5.0
13,65.0,93.84615384615384,89.1891891891892,100.0,0.9428571428571428,33.0,4.0,28.0,0.0
14,84.0,82.14285714285714,70.83333333333334,97.14285714285714,0.8192771084337349,34.0,14.0,35.0,1.0
15,71.0,87.32394366197182,82.0,100.0,0.9010989010989011,41.0,9.0,21.0,0.0
16,68.0,72.05882352941177,65.38461538461539,97.14285714285714,0.7816091954022988,34.0,18.0,15.0,1.0
17,64.0,87.5,82.85714285714286,93.54838709677419,0.8787878787878788,29.0,6.0,27.0,2.0
