sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,73.58823529411765,89.26018719601306,89.08407837835735,89.30341013730286,0.8871446573201508,32.470588235294116,4.0,33.35294117647059,3.764705882352941
1,77.0,85.71428571428571,72.22222222222221,96.29629629629629,0.8253968253968254,26.0,10.0,40.0,1.0
2,69.0,91.30434782608695,97.5609756097561,88.88888888888889,0.9302325581395349,40.0,1.0,23.0,5.0
3,76.0,96.05263157894737,93.10344827586206,96.42857142857143,0.9473684210526316,27.0,2.0,46.0,1.0
4,82.0,91.46341463414635,86.0,100.0,0.924731182795699,43.0,7.0,32.0,0.0
5,69.0,94.20289855072464,91.8918918918919,97.14285714285714,0.9444444444444445,34.0,3.0,31.0,1.0
6,85.0,90.58823529411765,93.47826086956522,89.58333333333334,0.9148936170212766,43.0,3.0,34.0,5.0
7,100.0,96.0,96.0,96.0,0.96,48.0,2.0,48.0,2.0
8,74.0,81.08108108108108,80.0,84.21052631578947,0.8205128205128205,32.0,8.0,28.0,6.0
9,57.0,89.47368421052632,92.3076923076923,85.71428571428571,0.888888888888889,24.0,2.0,27.0,4.0
10,61.0,88.52459016393442,89.28571428571429,86.20689655172413,0.8771929824561403,25.0,3.0,29.0,4.0
11,69.0,85.5072463768116,81.48148148148148,81.48148148148148,0.8148148148148148,22.0,5.0,37.0,5.0
12,80.0,87.5,94.5945945945946,81.3953488372093,0.875,35.0,2.0,35.0,8.0
13,65.0,95.38461538461539,91.66666666666666,100.0,0.9565217391304348,33.0,3.0,29.0,0.0
14,84.0,88.09523809523809,82.05128205128204,91.42857142857143,0.8648648648648648,32.0,7.0,42.0,3.0
15,71.0,91.54929577464789,97.2972972972973,87.8048780487805,0.923076923076923,36.0,1.0,29.0,5.0
16,68.0,85.29411764705883,80.48780487804879,94.28571428571428,0.868421052631579,33.0,8.0,25.0,2.0
17,64.0,79.6875,95.0,61.29032258064516,0.7450980392156863,19.0,1.0,32.0,12.0
