sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,73.58823529411765,89.71386242370599,89.7816175637577,89.45891188108527,0.892236011149902,32.529411764705884,3.7058823529411766,33.64705882352941,3.7058823529411766
1,77.0,87.01298701298701,74.28571428571429,96.29629629629629,0.8387096774193549,26.0,9.0,41.0,1.0
2,69.0,91.30434782608695,97.5609756097561,88.88888888888889,0.9302325581395349,40.0,1.0,23.0,5.0
3,76.0,96.05263157894737,93.10344827586206,96.42857142857143,0.9473684210526316,27.0,2.0,46.0,1.0
4,82.0,92.6829268292683,87.75510204081633,100.0,0.9347826086956522,43.0,6.0,33.0,0.0
5,69.0,94.20289855072464,91.8918918918919,97.14285714285714,0.9444444444444445,34.0,3.0,31.0,1.0
6,85.0,91.76470588235294,95.55555555555556,89.58333333333334,0.924731182795699,43.0,2.0,35.0,5.0
7,100.0,96.0,96.0,96.0,0.96,48.0,2.0,48.0,2.0
8,74.0,81.08108108108108,81.57894736842105,81.57894736842105,0.8157894736842104,31.0,7.0,29.0,7.0
9,57.0,89.47368421052632,92.3076923076923,85.71428571428571,0.888888888888889,24.0,2.0,27.0,4.0
10,61.0,90.1639344262295,92.5925925925926,86.20689655172413,0.8928571428571429,25.0,2.0,30.0,4.0
11,69.0,86.95652173913044,82.14285714285714,85.18518518518519,0.8363636363636364,23.0,5.0,37.0,4.0
12,80.0,90.0,94.87179487179486,86.04651162790698,0.9024390243902439,37.0,2.0,35.0,6.0
13,65.0,93.84615384615384,91.42857142857143,96.96969696969697,0.9411764705882354,32.0,3.0,29.0,1.0
14,84.0,88.09523809523809,83.78378378378379,88.57142857142857,0.8611111111111112,31.0,6.0,43.0,4.0
15,71.0,94.36619718309859,100.0,90.2439024390244,0.9487179487179488,37.0,0.0,30.0,4.0
16,68.0,80.88235294117648,76.19047619047619,91.42857142857143,0.8311688311688312,32.0,10.0,23.0,3.0
17,64.0,81.25,95.23809523809523,64.51612903225806,0.7692307692307692,20.0,1.0,32.0,11.0
