sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,73.58823529411765,87.90649704783627,86.55042979703842,88.69295229158729,0.8727432580903514,32.411764705882355,4.823529411764706,32.529411764705884,3.823529411764706
1,77.0,89.6103896103896,82.75862068965517,88.88888888888889,0.8571428571428572,24.0,5.0,45.0,3.0
2,69.0,89.85507246376811,93.18181818181817,91.11111111111111,0.9213483146067416,41.0,3.0,21.0,4.0
3,76.0,85.52631578947368,77.41935483870968,85.71428571428571,0.8135593220338982,24.0,7.0,41.0,4.0
4,82.0,92.6829268292683,87.75510204081633,100.0,0.9347826086956522,43.0,6.0,33.0,0.0
5,69.0,88.40579710144928,93.54838709677419,82.85714285714286,0.8787878787878788,29.0,2.0,32.0,6.0
6,85.0,95.29411764705881,95.83333333333334,95.83333333333334,0.9583333333333334,46.0,2.0,35.0,2.0
7,100.0,96.0,94.23076923076923,98.0,0.9607843137254902,49.0,3.0,47.0,1.0
8,74.0,79.72972972972973,78.04878048780488,84.21052631578947,0.810126582278481,32.0,9.0,27.0,6.0
9,57.0,84.21052631578947,80.64516129032258,89.28571428571429,0.8474576271186439,25.0,6.0,23.0,3.0
10,61.0,90.1639344262295,87.09677419354838,93.10344827586206,0.9,27.0,4.0,28.0,2.0
11,69.0,89.85507246376811,85.71428571428571,88.88888888888889,0.8727272727272727,24.0,4.0,38.0,3.0
12,80.0,86.25,90.0,83.72093023255815,0.8674698795180723,36.0,4.0,33.0,7.0
13,65.0,90.76923076923077,90.9090909090909,90.9090909090909,0.9090909090909091,30.0,3.0,29.0,3.0
14,84.0,85.71428571428571,78.04878048780488,91.42857142857143,0.8421052631578947,32.0,9.0,40.0,3.0
15,71.0,90.14084507042254,86.95652173913044,97.5609756097561,0.9195402298850575,40.0,6.0,24.0,1.0
16,68.0,86.76470588235294,84.21052631578947,91.42857142857143,0.8767123287671234,32.0,6.0,27.0,3.0
17,64.0,73.4375,85.0,54.83870967741935,0.6666666666666665,17.0,3.0,30.0,14.0
