id,text,sdg,expected_label,predictions,predicted_label,is_correct
b330aea,"One wants an institution in which the developing countries have more voice than say the World Bank, and one wants an institution that is less committed to the neoclassical model (in which there is no unemployment) and more committed to development. The GTF could also compensate developing countries in the case of other trade violations (including for already existing rights) where it is determined existing enforcement mechanisms are inadequate, e.g. because the implementation of such sanctions would impose significant costs on the developing country. The gains in ‘equity’ from such targeted taxation have to be balanced against the resulting distortions, which given the proposed rates are likely to be very small.",10,True,"[10, 16]",True,True
7b021fe,"Commodity assets managed by financial investors have increased over the past decade from less than $10 billion to $404 billion in June 2012. Loose monetary policies of the developed world, most notably quantitative easing (QE) in the United States, along with the unwillingness of governments to regulate participants in commodity markets, have continued to draw excess funds to the commodities markets due to the markets’ comparatively high expected returns. The presence of financial investors, betting on an increase in fundamental prices due to supply shortages, serves to exaggerate price increases.",10,True,"[12, 8]",False,False
bb298ab,"Nonetheless, South Africa’s changing population shares imply that a policy focus on race-based redistribution will become increasingly limited in the future as the foundation for further broad-based social development. Rather, it would seem that a more dynamically sustainable direction lies in addressing seriously the increasing inequality within each race group. However, before we proceed to this discussion of social spending, Chapter 2 interrogates and adds to the review of post-Apartheid inequality and poverty of this first chapter by comparing the empirical picture of poverty and inequality from three national household survey data sets from 1993, 2000 and 2008. Careful attention is given to making these data sets as consistent as possible.",10,True,"[1, 10]",True,True
aa62f81,"Intergenerational earnings mobility is low in countries with high inequality such as Italy, the United Kingdom, and the United States, and much higher in the Nordic countries, where income is distributed more evenly (OECD, 2008). The resulting inequality of opportunity will inevitably impact economic performance as a whole, even if the relationship is not straightforward. Inequality also raises political challenges because it breeds social resentment and generates political instability. It can also fuel populist, protectionist, and anti-globalisation sentiments.",10,True,"[8, 10]",True,True
ea91a1c,"Policy reforms enacted in the early and mid 1990s reduced income gaps at the bottom to below their 1978 value (as measured by the p50/p10 ratio, not reported here). But no equalising effects of policies could be discerned for the upper part of the distribution (p90/p50 ratio). For the period as a whole, tax policy changes appear to have slightly exacerbated trends towards widening income gaps at the top. The interpretation is that the tax system in the mid-2000s would have been somewhat more redistributive if policy makers had implemented no reform at all and had, instead, simply adjusted all monetary tax parameters in line with inflation.",10,True,[10],True,True
4c2710d,"The employment services for college graduates should be strengthened and the assistance system for college graduates from poor families should be improved. Enterprises are encouraged to keep more migrants. Those having financial difficulties can adopt flexible employment, elastic working times and on-the-job training to stabilise jobs.",10,True,"[1, 8]",False,False
eff0824,"Thus, while limited differentiation may mean that, in the immediate term at least, regional supply chains might need to be less differentiated than most Asian supply chains (or only part of the production chain can be located in this region), the prevalence of manufactured product in regional exports also means that some basic infrastructure for the production of manufactured goods already exists in South Asia. Countries such as Bangladesh, Nepal, and Pakistan may be able to host, simultaneously, both labour-intensive assembly-type activities and more technically demanding intermediate activity across different supply chains, while India may be able to straddle all but the most technically demanding aspects of the production process. In short, it is unlikely that South Asia will replicate the ‘flying geese’ model in the classic sense, so famously attributed to East Asian industrial development.",10,False,"[9, 8]",False,True
82eb84a,"The measure of wage provided refers to hourly labour cost, or gross earnings, i.e. includes labour income taxes and social security contributions as well as fringe benefits. In particular, it accounts for bonuses and executive compensation. Wage premia are calculated as the average of the wage premium for each triplet consisting of one age bracket, one education level and the gender, weighted by the number of financial sector employees in the triplet. Hence, the aggregate measure uses the relative frequency of financial sector employees in the different triplet categories.",10,False,[8],False,True
9ba17b4,"The fall has been generated by a combination of demand and supply factors. Global oil production in excess of worldwide consumption has been the primary driving force behind the decline, while weaker-than-expected growth in Europe and Asia has also been a contributing factor (Husain et al. Additionally, there has been a broad-based weakness in non-oil commodity prices.",10,False,"[7, 12]",False,True
73f6af7,"In other words, over the past two decades a megacity has been added every two years. Fifteen of 21 megacities are located in developing countries. Most losses were in Latin America and Africa, while there was some recovery in North America, Europe and parts of Asia. Biodiversity in the tropics is declining most dramatically, which is seen to be associated with high depletion rates of primary forests and transformation of forest into agriculture land and pasture (WWF 2010).",10,False,"[11, 15]",False,True
e272877,"Recent evidence of deteriorating health indicators in mental health and infectious diseases (Box 2.6) highlight the need for maintaining critical preventive public health services, which will tend to benefit more the low-income groups who are likely to be more prone to these diseases (Karanikolos et al., Widespread tax evasion, however, distorts its distributional effects and reduces its effectiveness in terms of tax collection (Chapter 1). Based on micro-simulation analysis, Leventi and Matsaganis (2013b) conclude that the extended income underreporting (at an average rate of 12.2% in 2009), incurred mainly among self-employment, increases inequality and makes the tax system considerably more regressive (by around 32% on the basis of the difference in the value of redistribution indices under tax evasion and full compliance).",10,True,"[3, 10]",True,True
7ed963c,"Telecommunications operators in Sudan have difficulties trying to expand their coverage into conflict-ridden areas. Drug trafficking, terrorism and illegal immigration affect Mauritania's national security. While in Yemen, there are ongoing conflicts in some regions between the government forces and local insurgents.",10,False,[16],False,True
815edb9,"Estimates by Sutherland et al. ( Firstly, given the relevance of quality teaching for schooling achievements (Hanushek and Wossman, 2007, Slater et al., Individual schools should be provided with tools and incentives to hire, reward and replace teachers according to their performance. Extending these practices to Local Authority maintained schools could also increase their competitiveness relative to independent schools, academies, faith schools and Free Schools.",10,False,[4],False,True
b8af692,"Unless reversed, the mega trends sketched above suggest migratory pressures should be expected to increase substantially moving forward. International migration is bringing benefits to both countries of origin and destination, including remittances, knowledge sharing and mitigation of labour shortages. It also comes with important costs to migrants themselves and the societies they live in, as migrants often face much less secure job situations, discrimination, and less than full access to health, education and other social services, while vast migration inflows has been a source of political and social tensions in many recipient countries.",10,True,"[10, 16]",True,True
e1eeed5,"At the same time, policy decisions tended to place a greater emphasis on achieving fiscal balance, and much less than in the past on other macroeconomic or development needs. The general tendency to reduce the role of the State in the economy meant that whenever budgetary adjustment was considered necessary, it was sought through spending cuts rather than by raising additional revenue. These institutions also emphasized the need to strengthen the financial position of the public sector and reduce government interference in the allocation of resources (TDR 2006, chap. It argues that more progressive taxation can help to reduce inequality in the distribution of income and wealth without curtailing incentives to undertake investment in fixed capital, innovation and skills acquisition.",10,True,"[8, 10]",True,True
3254a64,"They believed it hindered social mobility, in that it prevented the rise of the most dynamic individuals in the society, and that it weakened economic incentives for an efficient use of labour, land and machinery.1 They also saw it as generating excessive consumption by the upper classes, contrasting with the precarious conditions of the popular masses. In their view, income inequality does not translate into stronger capital accumulation, as ostentatious consumption by the rich reduces savings. Consequently, State-led redistribution policies must seek to reduce consumption by the upper income groups in order to increase savings and direct them to capital accumulation (Prebisch, 1963, Pinto, 1970).",10,True,"[10, 8]",True,True
f9dca65,"Since the financial crisis, this line of thinking has come under fire. Many now argue that stock options can promote short-term thinking among managers, who may try to boost the firm’s share price in the short run to make a quick killing, even if it hurts the firm’s long-term prospects. And these days, finance is not short of critics.",10,False,"[8, 12]",False,True
223cd8e,"It is scarcely less difficult or costly to train teachers, accountants or professionals with other lost skills. Yet much of this is qualitative and not measurable. In both Samoa and Tonga, science and mathematics teachers from secondary schools are the ones most often lost, partly through migration and partly from attrition, since sciences and mathematics teachers are most easily able to find better paid jobs within the public sector. In Tonga, the loss of industrial arts and technical and vocational education and training teachers is a particular problem.",10,False,"[4, 8]",False,True
79a0184,"Several farm subsidy programmes that were seen as WTO-illegal - such as the Countercyclical Payment Program and the Average Crop Revenue Program - have been either scrapped or modified. Conversely, the bill introduces five new crop subsidy programmes and replenishes four disaster programmes, set up in 2008 and only partially funded through to 2011, for the next five years. The programme is an area-based insurance product where payments are triggered whenever actual average revenues at the area level fall below 10 per cent of their expected levels.",10,False,"[2, 12]",False,True
9b56264,"Global Development and Environment Institute Working Paper No. J. (2008), “The Unintended Consequences of Encouraging Work: Tax Incidence and the EITC”, CEPS Working Paper, No. The Geneva Papers on Risk and Insurance - Issues and Practice 34, pp. Tax Notes, Tax Policy Center, Urban and Brookings Institution, 2 May 2011.",10,False,[0],False,True
00de310,"But it’s far from clear whether typical workers reaped any benefits during the early stages of the Industrial Revolution, many workers were clearly hurt.” Over just the past few decades, the number of people employed as telephone operators and shorthand typists has dwindled markedly. Other jobs will go in the future, including some “knowledge work” that today might seem to be immune to technology.",10,False,"[8, 9]",False,True
4602ec0,"In most cases, data for 2009 are expected to be released later during 2011 or early in 2012. Relative to 2007, benefit receipts under public assistance programmes have slightly decreased for households in the first quintile. This may reflect an increase in the share of the population in the first quintile receiving benefits from other public sources, such as the UI programme, as well as the financing of the Temporary Assistance for Needy Families through a Federal block grants to the states that are not adjusted for inflation nor changes in caseloads. The American Recovery and Reinvestment Act (ARRA) included a temporary increase in EITC and expanded the credit for workers with three or more qualifying children.",10,True,"[1, 10]",True,True
caea892,"If such easing is undertaken in an environment in which other structural barriers that hamper the returns to investment, such as energy shortages, are removed, the cheaper price of credit can spur the activities of the private sector. Reducing the cost of credit by expansionary monetary policy will not necessarily lead to increased inflation if it is ensured that credits are directed through regulatory measures to productive investments, especially to agriculture and not to speculative investments in assets. It becomes negative only beyond moderate rates of inflation, ranging from 13% to 17%.",10,False,"[2, 7]",False,True
6f4bd3d,The Gini measures reported in Chapter 6 refer to working-age individuals and are somewhat different from the ones shown here which refer to individuals in working-age households and thus include children living in the same household as observations in their own right. In Switzerland the subsequent equalising effect on the distribution of disposable income was further strengthened by a trend towards more redistribution. Market-income inequality has also been the main determinant of differences across countries.,10,True,[10],True,True
8d0a23d,"This entails re-organizing production to create a model that is structured and managed on the basis of the new technological platforms. This process needs to take account of scale economies related to the development of key skills and knowledge that require collective responses and configure new service networks for firms, such as testing and certification laboratories, specialized research and development centres or vocational and technical training firms. First, specific measures to support MSMEs must be coordinated with enabling policies, to create the basic conditions needed to compete in domestic and international markets.",10,False,"[8, 9]",False,True
c1e152f,"One advantage of the simulation is that it can hold “everything else” constant (unemployment levels, market-income inequality, household composition, etc.), For instance, it can show whether a given family at the bottom, middle and top of the income distribution is now better or worse off than they it have been with unchanged policies. By comparing the mechanical income effects of redistribution systems between different periods, it is possible to identify family and earnings situations that are better or worse off as a result of policy reforms. For simplicity, we refer to these families, respectively, as “gainers” and “losers”. Results are shown for the same 8 OECD countries that were included in the above summary of policy changes. For each family, changes in tax burdens and benefit entitlements do not only result from policy action, they can also occur if policies are not adjusted.",10,True,"[1, 10]",True,True
6cfb176,"However, notwithstanding the Bali success, in the absence of a significant change in the border policy environment a ‘business as usual’ approach is unlikely to yield results that are radically different from what WTO members have achieved so far. Mindful of this reality, several members are exploring new ways of conducting negotiations, as already hinted at by ministers at the December 2011 Ministerial Conference. Under this scenario, the single undertaking principle is likely to be further questioned and pushes for plurilateral approaches will probably intensify.",10,False,[17],False,True
