sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,73.58823529411765,88.38615641046526,90.29300077113896,85.89832311682073,0.8715175417005808,31.352941176470587,3.411764705882353,33.94117647058823,4.882352941176471
1,77.0,88.31168831168831,76.47058823529412,96.29629629629629,0.8524590163934426,26.0,8.0,42.0,1.0
2,69.0,88.40579710144928,95.1219512195122,86.66666666666667,0.9069767441860465,39.0,2.0,22.0,6.0
3,76.0,96.05263157894737,93.10344827586206,96.42857142857143,0.9473684210526316,27.0,2.0,46.0,1.0
4,82.0,90.2439024390244,85.71428571428571,97.67441860465115,0.9130434782608695,42.0,7.0,32.0,1.0
5,69.0,91.30434782608695,89.1891891891892,94.28571428571428,0.9166666666666667,33.0,4.0,30.0,2.0
6,85.0,92.94117647058823,95.65217391304348,91.66666666666666,0.9361702127659574,44.0,2.0,35.0,4.0
7,100.0,97.0,97.95918367346938,96.0,0.9696969696969697,48.0,1.0,49.0,2.0
8,74.0,78.37837837837837,80.55555555555556,76.31578947368422,0.7837837837837838,29.0,7.0,29.0,9.0
9,57.0,84.21052631578947,91.30434782608695,75.0,0.8235294117647057,21.0,2.0,27.0,7.0
10,61.0,90.1639344262295,87.09677419354838,93.10344827586206,0.9,27.0,4.0,28.0,2.0
11,69.0,86.95652173913044,87.5,77.77777777777779,0.823529411764706,21.0,3.0,39.0,6.0
12,80.0,87.5,97.14285714285714,79.06976744186046,0.8717948717948717,34.0,1.0,36.0,9.0
13,65.0,93.84615384615384,93.93939393939394,93.93939393939394,0.9393939393939394,31.0,2.0,30.0,2.0
14,84.0,85.71428571428571,81.08108108108108,85.71428571428571,0.8333333333333334,30.0,7.0,42.0,5.0
15,71.0,94.36619718309859,97.43589743589743,92.6829268292683,0.9500000000000001,38.0,1.0,29.0,3.0
16,68.0,85.29411764705883,85.71428571428571,85.71428571428571,0.8571428571428571,30.0,5.0,28.0,5.0
17,64.0,71.875,100.0,41.935483870967744,0.5909090909090909,13.0,0.0,33.0,18.0
