sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,73.58823529411765,88.19235792078621,86.84057064262458,89.6073743306001,0.8783944195223379,32.64705882352941,4.882352941176471,32.470588235294116,3.588235294117647
1,77.0,90.9090909090909,81.25,96.29629629629629,0.8813559322033898,26.0,6.0,44.0,1.0
2,69.0,89.85507246376811,93.18181818181817,91.11111111111111,0.9213483146067416,41.0,3.0,21.0,4.0
3,76.0,90.78947368421053,86.20689655172413,89.28571428571429,0.8771929824561403,25.0,4.0,44.0,3.0
4,82.0,89.02439024390245,84.0,97.67441860465115,0.9032258064516129,42.0,8.0,31.0,1.0
5,69.0,86.95652173913044,88.23529411764706,85.71428571428571,0.8695652173913043,30.0,4.0,30.0,5.0
6,85.0,95.29411764705881,94.0,97.91666666666666,0.9591836734693877,47.0,3.0,34.0,1.0
7,100.0,98.0,96.15384615384616,100.0,0.9803921568627451,50.0,2.0,48.0,0.0
8,74.0,81.08108108108108,81.57894736842105,81.57894736842105,0.8157894736842104,31.0,7.0,29.0,7.0
9,57.0,87.71929824561403,86.20689655172413,89.28571428571429,0.8771929824561403,25.0,4.0,25.0,3.0
10,61.0,95.08196721311475,96.42857142857143,93.10344827586206,0.9473684210526316,27.0,1.0,31.0,2.0
11,69.0,86.95652173913044,78.125,92.5925925925926,0.847457627118644,25.0,7.0,35.0,2.0
12,80.0,86.25,92.10526315789474,81.3953488372093,0.8641975308641974,35.0,3.0,34.0,8.0
13,65.0,92.3076923076923,93.75,90.9090909090909,0.923076923076923,30.0,2.0,30.0,3.0
14,84.0,85.71428571428571,76.74418604651163,94.28571428571428,0.8461538461538461,33.0,10.0,39.0,2.0
15,71.0,84.50704225352112,82.6086956521739,92.6829268292683,0.8735632183908046,38.0,8.0,22.0,3.0
16,68.0,83.82352941176471,80.0,91.42857142857143,0.8533333333333333,32.0,8.0,25.0,3.0
17,64.0,75.0,85.71428571428571,58.06451612903226,0.6923076923076923,18.0,3.0,30.0,13.0
