sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,77.0,92.83955169637665,94.0063366574699,91.07339525812165,0.9240412915657293,34.888888888888886,2.111111111111111,36.77777777777778,3.2222222222222223
1,77.0,94.8051948051948,89.65517241379311,96.29629629629629,0.9285714285714286,26.0,3.0,47.0,1.0
2,69.0,92.7536231884058,97.61904761904762,91.11111111111111,0.9425287356321839,41.0,1.0,23.0,4.0
3,76.0,93.42105263157895,92.5925925925926,89.28571428571429,0.9090909090909091,25.0,2.0,46.0,3.0
4,82.0,95.1219512195122,93.33333333333333,97.67441860465115,0.9545454545454545,42.0,3.0,36.0,1.0
5,69.0,88.40579710144928,93.54838709677419,82.85714285714286,0.8787878787878788,29.0,2.0,32.0,6.0
6,85.0,96.47058823529412,97.87234042553192,95.83333333333334,0.968421052631579,46.0,1.0,36.0,2.0
7,100.0,96.0,94.23076923076923,98.0,0.9607843137254902,49.0,3.0,47.0,1.0
8,74.0,85.13513513513513,90.9090909090909,78.94736842105263,0.8450704225352113,30.0,3.0,33.0,8.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,61.0,93.44262295081968,96.29629629629629,89.65517241379311,0.9285714285714286,26.0,1.0,31.0,3.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
