sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,73.58823529411765,86.19380318189553,88.78607209492209,82.07699627376253,0.8431489001711178,30.11764705882353,3.7058823529411766,33.64705882352941,6.117647058823529
1,77.0,87.01298701298701,75.75757575757575,92.5925925925926,0.8333333333333334,25.0,8.0,42.0,2.0
2,69.0,88.40579710144928,93.02325581395348,88.88888888888889,0.9090909090909092,40.0,3.0,21.0,5.0
3,76.0,92.10526315789474,82.35294117647058,100.0,0.9032258064516129,28.0,6.0,42.0,0.0
4,82.0,90.2439024390244,85.71428571428571,97.67441860465115,0.9130434782608695,42.0,7.0,32.0,1.0
5,69.0,92.7536231884058,91.66666666666666,94.28571428571428,0.9295774647887323,33.0,3.0,31.0,2.0
6,85.0,91.76470588235294,95.55555555555556,89.58333333333334,0.924731182795699,43.0,2.0,35.0,5.0
7,100.0,96.0,97.91666666666666,94.0,0.9591836734693877,47.0,1.0,49.0,3.0
8,74.0,81.08108108108108,81.57894736842105,81.57894736842105,0.8157894736842104,31.0,7.0,29.0,7.0
9,57.0,73.68421052631578,88.23529411764706,53.57142857142857,0.6666666666666667,15.0,2.0,27.0,13.0
10,61.0,88.52459016393442,89.28571428571429,86.20689655172413,0.8771929824561403,25.0,3.0,29.0,4.0
11,69.0,84.05797101449275,86.36363636363636,70.37037037037037,0.7755102040816326,19.0,3.0,39.0,8.0
12,80.0,83.75,91.66666666666666,76.74418604651163,0.8354430379746837,33.0,3.0,34.0,10.0
13,65.0,92.3076923076923,91.17647058823529,93.93939393939394,0.9253731343283583,31.0,3.0,29.0,2.0
14,84.0,82.14285714285714,81.25,74.28571428571429,0.7761194029850748,26.0,6.0,43.0,9.0
15,71.0,87.32394366197182,92.10526315789474,85.36585365853658,0.8860759493670887,35.0,3.0,27.0,6.0
16,68.0,83.82352941176471,92.85714285714286,74.28571428571429,0.8253968253968255,26.0,2.0,31.0,9.0
17,64.0,70.3125,92.85714285714286,41.935483870967744,0.5777777777777778,13.0,1.0,32.0,18.0
