sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,73.58823529411765,88.68641059932176,90.21859105741319,86.3466698390483,0.8748621589860367,31.529411764705884,3.3529411764705883,34.0,4.705882352941177
1,77.0,88.31168831168831,76.47058823529412,96.29629629629629,0.8524590163934426,26.0,8.0,42.0,1.0
2,69.0,88.40579710144928,95.1219512195122,86.66666666666667,0.9069767441860465,39.0,2.0,22.0,6.0
3,76.0,96.05263157894737,93.10344827586206,96.42857142857143,0.9473684210526316,27.0,2.0,46.0,1.0
4,82.0,90.2439024390244,85.71428571428571,97.67441860465115,0.9130434782608695,42.0,7.0,32.0,1.0
5,69.0,92.7536231884058,91.66666666666666,94.28571428571428,0.9295774647887323,33.0,3.0,31.0,2.0
6,85.0,94.11764705882352,97.77777777777777,91.66666666666666,0.946236559139785,44.0,1.0,36.0,4.0
7,100.0,97.0,97.95918367346938,96.0,0.9696969696969697,48.0,1.0,49.0,2.0
8,74.0,78.37837837837837,80.55555555555556,76.31578947368422,0.7837837837837838,29.0,7.0,29.0,9.0
9,57.0,84.21052631578947,91.30434782608695,75.0,0.8235294117647057,21.0,2.0,27.0,7.0
10,61.0,90.1639344262295,89.65517241379311,89.65517241379311,0.896551724137931,26.0,3.0,29.0,3.0
11,69.0,86.95652173913044,87.5,77.77777777777779,0.823529411764706,21.0,3.0,39.0,6.0
12,80.0,88.75,97.22222222222221,81.3953488372093,0.8860759493670887,35.0,1.0,36.0,8.0
13,65.0,95.38461538461539,94.11764705882352,96.96969696969697,0.955223880597015,32.0,2.0,30.0,1.0
14,84.0,86.90476190476191,81.57894736842105,88.57142857142857,0.8493150684931505,31.0,7.0,42.0,4.0
15,71.0,92.95774647887323,95.0,92.6829268292683,0.9382716049382716,38.0,2.0,28.0,3.0
16,68.0,86.76470588235294,86.11111111111111,88.57142857142857,0.8732394366197184,31.0,5.0,28.0,4.0
17,64.0,70.3125,92.85714285714286,41.935483870967744,0.5777777777777778,13.0,1.0,32.0,18.0
