sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,77.375,87.29402069030107,80.73551516220832,97.39768035878701,0.8776649498251354,37.25,9.0,30.25,0.875
1,77.0,76.62337662337663,60.46511627906976,96.29629629629629,0.7428571428571429,26.0,17.0,33.0,1.0
2,69.0,89.85507246376811,89.58333333333334,95.55555555555556,0.924731182795699,43.0,5.0,19.0,2.0
3,76.0,82.89473684210526,68.29268292682927,100.0,0.8115942028985507,28.0,13.0,35.0,0.0
4,82.0,85.36585365853658,79.24528301886792,97.67441860465115,0.875,42.0,11.0,28.0,1.0
5,69.0,88.40579710144928,81.3953488372093,100.0,0.8974358974358974,35.0,8.0,26.0,0.0
6,85.0,91.76470588235294,87.27272727272727,100.0,0.9320388349514563,48.0,7.0,30.0,0.0
7,100.0,90.0,83.33333333333334,100.0,0.9090909090909091,50.0,10.0,40.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,61.0,93.44262295081968,96.29629629629629,89.65517241379311,0.9285714285714286,26.0,1.0,31.0,3.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
