sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,77.375,83.12201607671416,76.29179558345047,97.08580752536245,0.8456193745605065,37.0,11.75,27.5,1.125
1,77.0,61.038961038961034,47.368421052631575,100.0,0.6428571428571429,27.0,30.0,20.0,0.0
2,69.0,89.85507246376811,95.23809523809523,88.88888888888889,0.9195402298850575,40.0,2.0,22.0,5.0
3,76.0,80.26315789473685,65.85365853658537,96.42857142857143,0.782608695652174,27.0,14.0,34.0,1.0
4,82.0,82.92682926829268,76.36363636363637,97.67441860465115,0.8571428571428571,42.0,13.0,26.0,1.0
5,69.0,84.05797101449275,77.27272727272727,97.14285714285714,0.8607594936708862,34.0,10.0,24.0,1.0
6,85.0,90.58823529411765,85.71428571428571,100.0,0.923076923076923,48.0,8.0,29.0,0.0
7,100.0,91.0,84.7457627118644,100.0,0.9174311926605504,50.0,9.0,41.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,61.0,85.24590163934425,77.77777777777779,96.55172413793103,0.8615384615384615,28.0,8.0,24.0,1.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
