sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,73.58823529411765,86.17195123056204,84.08136368765892,89.37768586247371,0.8590618609053992,32.64705882352941,6.352941176470588,31.0,3.588235294117647
1,77.0,79.22077922077922,62.7906976744186,100.0,0.7714285714285715,27.0,16.0,34.0,0.0
2,69.0,91.30434782608695,97.5609756097561,88.88888888888889,0.9302325581395349,40.0,1.0,23.0,5.0
3,76.0,90.78947368421053,81.81818181818183,96.42857142857143,0.8852459016393442,27.0,6.0,42.0,1.0
4,82.0,84.14634146341463,76.78571428571429,100.0,0.8686868686868687,43.0,13.0,26.0,0.0
5,69.0,91.30434782608695,89.1891891891892,94.28571428571428,0.9166666666666667,33.0,4.0,30.0,2.0
6,85.0,94.11764705882352,93.87755102040816,95.83333333333334,0.9484536082474228,46.0,3.0,34.0,2.0
7,100.0,97.0,94.33962264150944,100.0,0.970873786407767,50.0,3.0,47.0,0.0
8,74.0,78.37837837837837,73.91304347826086,89.47368421052632,0.8095238095238095,34.0,12.0,24.0,4.0
9,57.0,85.96491228070175,88.46153846153845,82.14285714285714,0.8518518518518519,23.0,3.0,26.0,5.0
10,61.0,85.24590163934425,91.66666666666666,75.86206896551724,0.830188679245283,22.0,2.0,30.0,7.0
11,69.0,84.05797101449275,76.66666666666667,85.18518518518519,0.8070175438596491,23.0,7.0,35.0,4.0
12,80.0,85.0,82.97872340425532,90.69767441860465,0.8666666666666666,39.0,8.0,29.0,4.0
13,65.0,95.38461538461539,91.66666666666666,100.0,0.9565217391304348,33.0,3.0,29.0,0.0
14,84.0,85.71428571428571,78.04878048780488,91.42857142857143,0.8421052631578947,32.0,9.0,40.0,3.0
15,71.0,85.91549295774648,91.8918918918919,82.92682926829268,0.8717948717948718,34.0,3.0,27.0,7.0
16,68.0,77.94117647058823,72.72727272727273,91.42857142857143,0.810126582278481,32.0,12.0,21.0,3.0
17,64.0,73.4375,85.0,54.83870967741935,0.6666666666666665,17.0,3.0,30.0,14.0
