sdg,n,accuracy,precision,recall,f1,tp,fp,tn,fn
Average,77.375,56.08754180678805,10.964912280701753,12.5,0.11682242990654204,6.25,0.875,38.375,31.875
1,77.0,64.93506493506493,0.0,0.0,0.0,0.0,0.0,50.0,27.0
2,69.0,34.78260869565217,0.0,0.0,0.0,0.0,0.0,24.0,45.0
3,76.0,63.1578947368421,0.0,0.0,0.0,0.0,0.0,48.0,28.0
4,82.0,47.5609756097561,0.0,0.0,0.0,0.0,0.0,39.0,43.0
5,69.0,49.275362318840585,0.0,0.0,0.0,0.0,0.0,34.0,35.0
6,85.0,43.529411764705884,0.0,0.0,0.0,0.0,0.0,37.0,48.0
7,100.0,93.0,87.71929824561403,100.0,0.9345794392523363,50.0,7.0,43.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,61.0,52.459016393442624,0.0,0.0,0.0,0.0,0.0,32.0,29.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
